fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,bgr,mosaic,mixup,cutmix,copy_paste,close_mosaic
0.7097,0.00972,0.0236,0.92447,0.00048,3.63067,0.77282,7.75802,0.57882,1.78067,0.01144,0.46728,0.47099,0.0,0.10104,0.42184,0.0,0.0,0.0,0.55432,0.0,1.0,0.0,0.0,0.0,8
0.68569,0.00979,0.02105,0.98,0.0005,3.39926,0.47498,8.25791,0.52486,1.87485,0.01393,0.5507,0.4462,0.0,0.09403,0.53907,0.0,0.0,0.0,0.54965,0.0,0.87207,0.0,0.0,0.0,6
0.7156,0.01085,0.01317,0.92198,0.00053,3.38036,0.82306,8.26376,0.52611,1.74875,0.01346,0.78636,0.39274,0.0,0.1077,0.49164,0.0,0.0,0.0,0.54932,0.0,1.0,0.0,0.0,0.0,10
0.70179,0.01538,0.01186,0.95728,0.00036,1.88426,0.9065,7.60616,0.54826,2.36756,0.01553,0.67117,0.56889,0.0,0.14079,0.45705,0.0,0.0,0.0,0.33881,0.0,0.83801,0.0,0.0,0.0,9
0.72146,0.01695,0.0181,0.86653,0.00054,4.84028,0.50966,9.0397,0.7006,1.78442,0.01279,0.75237,0.4827,0.0,0.06952,0.4294,0.0,0.0,0.0,0.35835,0.0,1.0,0.0,0.0,0.0,9
0.70411,0.00822,0.02014,0.97795,0.00032,2.15205,0.89534,7.48771,0.98995,1.77698,0.01072,0.5782,0.5529,0.0,0.17565,0.42443,0.0,0.0,0.0,0.2806,0.0,1.0,0.0,0.0,0.0,10
0.72502,0.00822,0.02387,0.96499,0.00024,5.0,0.67081,7.03286,0.50348,2.68239,0.01605,0.70888,0.36009,0.0,0.0665,0.4538,0.0,0.0,0.0,0.33717,0.0,1.0,0.0,0.0,0.0,9
0.71802,0.02559,0.02435,0.87219,0.00035,4.49247,0.48782,7.6536,0.67984,2.32112,0.01521,0.47558,0.33004,0.0,0.0878,0.43116,0.0,0.0,0.0,0.45658,0.0,0.87006,0.0,0.0,0.0,9
0.7041,0.01825,0.02494,0.8238,0.00021,3.85606,0.83791,6.49535,0.3599,2.01843,0.01926,0.76968,0.39268,0.0,0.12454,0.46768,0.0,0.0,0.0,0.40316,0.0,1.0,0.0,0.0,0.0,9
0.73362,0.01875,0.01591,0.84838,0.00042,4.67203,0.46176,10.12448,0.50241,2.62146,0.01608,0.80129,0.3288,0.0,0.11607,0.38274,0.0,0.0,0.0,0.31726,0.0,1.0,0.0,0.0,0.0,7
0.70761,0.02481,0.01572,0.93653,0.00049,5.0,0.65848,9.01501,0.48262,1.74873,0.01386,0.58472,0.47366,0.0,0.12065,0.39464,0.0,0.0,0.0,0.39239,0.0,0.97196,0.0,0.0,0.0,10
0.7152,0.01019,0.02713,0.93745,0.00037,3.41603,0.64244,7.43277,0.67937,1.87564,0.01744,0.4933,0.328,0.0,0.12264,0.43128,0.0,0.0,0.0,0.31699,0.0,1.0,0.0,0.0,0.0,6
0.69674,0.01895,0.02912,0.91699,0.00019,3.08793,0.52116,10.35678,0.54139,2.20452,0.01719,0.41027,0.47079,0.0,0.08648,0.37025,0.0,0.0,0.0,0.53065,0.0,1.0,0.0,0.0,0.0,7
0.72872,0.01947,0.0255,0.93573,0.00029,3.99677,0.47267,6.84691,0.5957,1.74984,0.01904,0.41348,0.49271,0.0,0.10386,0.39192,0.0,0.0,0.0,0.3557,0.0,0.9801,0.0,0.0,0.0,7
0.71829,0.0173,0.01432,0.93523,0.0004,5.0,0.30758,7.52145,0.54997,1.98604,0.01519,0.9,0.42733,0.0,0.06478,0.48213,0.0,0.0,0.0,0.34088,0.0,0.83785,0.0,0.0,0.0,10
0.71766,0.00936,0.00984,0.76331,0.00036,3.13677,0.58908,8.31521,0.52843,2.75081,0.01842,0.84971,0.47768,0.0,0.10684,0.50074,0.0,0.0,0.0,0.37941,0.0,1.0,0.0,0.0,0.0,7
0.71578,0.01525,0.02522,0.87617,0.00067,3.9313,0.22227,11.10976,0.496,2.0618,0.01427,0.9,0.47577,0.0,0.11515,0.36989,0.0,0.0,0.0,0.27621,0.0,0.70343,0.0,0.0,0.0,7
0.69522,0.01427,0.02041,0.85159,0.00066,4.61467,0.32815,10.06417,0.74147,2.64193,0.01766,0.35368,0.3054,0.0,0.08559,0.41521,0.0,0.0,0.0,0.3281,0.0,0.66167,0.0,0.0,0.0,8
0.705,0.01832,0.01195,0.95467,0.00034,3.98396,0.34903,16.09375,0.56974,2.84631,0.01241,0.48436,0.49737,0.0,0.08282,0.47225,0.0,0.0,0.0,0.34169,0.0,0.94168,0.0,0.0,0.0,7
0.70746,0.01779,0.0244,0.83397,0.00034,5.0,0.61113,7.14966,0.96583,3.0493,0.01558,0.56439,0.38295,0.0,0.15798,0.56051,0.0,0.0,0.0,0.42719,0.0,0.76701,0.0,0.0,0.0,9
0.71082,0.01813,0.01338,0.9024,0.00056,2.85198,0.55077,6.57751,0.47631,2.17174,0.00905,0.50418,0.36161,0.0,0.12146,0.35477,0.0,0.0,0.0,0.46247,0.0,0.94983,0.0,0.0,0.0,10
0.70765,0.00664,0.01497,0.98,0.00029,3.86379,0.56459,9.43665,0.63486,2.48785,0.01534,0.65986,0.44327,0.0,0.07831,0.6444,0.0,0.0,0.0,0.3373,0.0,0.86074,0.0,0.0,0.0,9
0.72213,0.01326,0.02193,0.8988,0.00053,4.46275,0.46385,7.10216,0.58657,2.5235,0.01693,0.74574,0.40355,0.0,0.08842,0.45389,0.0,0.0,0.0,0.33605,0.0,0.98871,0.0,0.0,0.0,7
0.70801,0.00709,0.03103,0.88968,0.00045,3.84926,0.60224,9.45768,0.51283,2.41215,0.01479,0.66538,0.30309,0.0,0.07751,0.45601,0.0,0.0,0.0,0.38069,0.0,0.8489,0.0,0.0,0.0,9
0.71975,0.02262,0.01294,0.84117,0.00034,4.20808,0.32725,6.58222,0.45957,2.07146,0.0233,0.48263,0.3348,0.0,0.06269,0.4594,0.0,0.0,0.0,0.34556,0.0,1.0,0.0,0.0,0.0,10
0.69717,0.00993,0.01423,0.88113,0.00031,4.45191,0.63365,7.96796,0.55547,2.8614,0.01408,0.61496,0.46498,0.0,0.09952,0.31551,0.0,0.0,0.0,0.35684,0.0,0.8303,0.0,0.0,0.0,6
0.71795,0.00991,0.02441,0.82626,0.00047,4.42011,0.36058,8.43062,0.76928,2.6817,0.01693,0.50078,0.30301,0.0,0.068,0.4123,0.0,0.0,0.0,0.55684,0.0,0.93953,0.0,0.0,0.0,7
0.70699,0.01308,0.02724,0.88978,0.00035,4.62326,0.51159,10.1801,0.5845,1.33144,0.01174,0.52768,0.44241,0.0,0.10774,0.45731,0.0,0.0,0.0,0.33363,0.0,0.83412,0.0,0.0,0.0,7
0.71547,0.00596,0.02225,0.79758,0.00042,5.0,0.61061,13.22599,0.53621,2.22163,0.01335,0.5871,0.38758,0.0,0.07676,0.44705,0.0,0.0,0.0,0.32033,0.0,0.76129,0.0,0.0,0.0,7
0.66621,0.00613,0.01222,0.8997,0.00054,3.61217,0.32805,8.14476,0.55554,3.49417,0.01629,0.59941,0.4355,0.0,0.10277,0.42678,0.0,0.0,0.0,0.26409,0.0,0.98281,0.0,0.0,0.0,5
0.72149,0.0198,0.01582,0.81087,0.00055,5.0,0.47237,6.8293,0.51404,1.75303,0.01784,0.87788,0.41338,0.0,0.12039,0.68987,0.0,0.0,0.0,0.33951,0.0,1.0,0.0,0.0,0.0,8
0.70636,0.02043,0.01553,0.91142,0.00059,3.74983,0.46232,8.73468,0.59318,2.75145,0.02545,0.68511,0.36886,0.0,0.06534,0.43882,0.0,0.0,0.0,0.41981,0.0,0.99445,0.0,0.0,0.0,9
0.74037,0.0056,0.01969,0.93412,0.0004,4.09514,0.30372,5.69681,0.56072,2.13634,0.01654,0.85488,0.58432,0.0,0.08927,0.39442,0.0,0.0,0.0,0.32289,0.0,0.98711,0.0,0.0,0.0,10
0.72209,0.00886,0.02835,0.83656,0.00038,4.76919,0.40842,8.61526,0.54655,2.42741,0.01647,0.9,0.32906,0.0,0.0882,0.55736,0.0,0.0,0.0,0.34476,0.0,0.99598,0.0,0.0,0.0,10
0.71394,0.00233,0.02331,0.88222,0.00031,4.06339,0.37797,7.01883,0.52916,1.85254,0.01308,0.72433,0.59737,0.0,0.0599,0.60891,0.0,0.0,0.0,0.2586,0.0,0.97301,0.0,0.0,0.0,9
0.73143,0.01882,0.01496,0.98,0.00029,5.0,0.63824,5.25297,0.48469,2.22929,0.01762,0.6343,0.45657,0.0,0.09194,0.36337,0.0,0.0,0.0,0.32469,0.0,1.0,0.0,0.0,0.0,6
0.72238,0.01432,0.02314,0.93842,0.00048,4.76608,0.56682,7.16763,0.49128,2.44056,0.02666,0.64912,0.58474,0.0,0.09563,0.40459,0.0,0.0,0.0,0.30359,0.0,0.99074,0.0,0.0,0.0,8
0.7159,0.00306,0.01938,0.8812,0.00036,5.0,0.26263,9.19994,0.46547,2.62291,0.01637,0.64585,0.32516,0.0,0.09742,0.36854,0.0,0.0,0.0,0.40497,0.0,0.99974,0.0,0.0,0.0,10
0.72333,0.02925,0.01975,0.94328,0.00049,5.0,0.68739,8.35638,0.64944,2.32753,0.01619,0.69123,0.53311,0.0,0.09408,0.38818,0.0,0.0,0.0,0.34271,0.0,0.99741,0.0,0.0,0.0,10
0.7157,0.00329,0.02491,0.98,0.00032,4.26135,0.48901,7.57464,0.528,1.8621,0.01565,0.65305,0.57617,0.0,0.0967,0.39432,0.0,0.0,0.0,0.35956,0.0,1.0,0.0,0.0,0.0,10
0.70878,0.0119,0.02486,0.98,0.0005,4.21915,0.33445,6.21996,0.59636,2.09815,0.02048,0.80444,0.61149,0.0,0.06258,0.45264,0.0,0.0,0.0,0.33735,0.0,0.69941,0.0,0.0,0.0,10
0.72979,0.01942,0.01133,0.84421,0.00034,4.15048,0.30373,7.18693,0.48797,2.76012,0.0131,0.88046,0.48086,0.0,0.09896,0.47166,0.0,0.0,0.0,0.31492,0.0,0.99038,0.0,0.0,0.0,6
0.73015,0.01558,0.02437,0.84303,0.00026,5.0,0.26293,9.30027,0.88217,1.54041,0.01789,0.56803,0.53869,0.0,0.08405,0.29614,0.0,0.0,0.0,0.31138,0.0,1.0,0.0,0.0,0.0,10
0.72353,0.01215,0.01755,0.9758,0.00044,4.57728,0.58466,9.07596,0.55523,1.56706,0.01733,0.76666,0.45716,0.0,0.12527,0.26662,0.0,0.0,0.0,0.35828,0.0,0.99675,0.0,0.0,0.0,6
0.71554,0.02059,0.02576,0.82606,0.00031,3.98014,0.29581,7.18044,1.02942,1.95894,0.01776,0.68887,0.61655,0.0,0.0793,0.29918,0.0,0.0,0.0,0.43994,0.0,0.82872,0.0,0.0,0.0,8
